954,1,02/10/2013 01:50:11,02/10/2013 01:50:11,,"Order &ndash; Feb 10, 2013 @ 01:50 AM",,publish,open,closed,order_5116fccdcf075,order-feb-10-2013-0150-am,,,02/10/2013 01:50:11,02/10/2013 01:50:11,,0,https://www.gamerosity.com/?shop_order=order-feb-10-2013-0150-am,462,shop_order,,4
955,1,02/10/2013 02:06:06,02/10/2013 02:06:06,,"Order &ndash; Feb 10, 2013 @ 02:05 AM",,publish,open,closed,order_5117008787b0d,order-feb-10-2013-0205-am,,,02/10/2013 02:06:06,02/10/2013 02:06:06,,0,https://www.gamerosity.com/?shop_order=order-feb-10-2013-0205-am,461,shop_order,,4
956,1,02/10/2013 03:08:41,02/10/2013 03:08:41,,"Order &ndash; Feb 10, 2013 @ 03:08 AM",Nice work tonight. Just give me the shirt at church whenever,publish,open,closed,order_51170f3217c1c,order-feb-10-2013-0308-am,,,02/10/2013 03:08:41,02/10/2013 03:08:41,,0,https://www.gamerosity.com/?shop_order=order-feb-10-2013-0308-am,460,shop_order,,4
957,1,02/11/2013 05:36:00,02/11/2013 05:36:13,,"Order &ndash; February 11, 2013 @ 05:36 AM",,publish,closed,closed,order_511883419ab30,order-feb-11-2013-0536-am,,,02/11/2013 05:39:58,02/11/2013 05:39:58,,0,https://www.gamerosity.com/?shop_order=order-feb-11-2013-0536-am,459,shop_order,,4
958,1,02/11/2013 05:45:00,02/11/2013 05:45:29,,"Order &ndash; February 11, 2013 @ 05:45 AM",,publish,closed,closed,order_51188572f1315,order-feb-11-2013-0545-am,,,02/11/2013 05:47:11,02/11/2013 05:47:11,,0,https://www.gamerosity.com/?shop_order=order-feb-11-2013-0545-am,458,shop_order,,6
959,1,02/11/2013 07:02:25,02/11/2013 07:02:25,,"Order &ndash; Feb 11, 2013 @ 07:02 AM",,publish,open,closed,order_5118977a381fb,order-feb-11-2013-0702-am,,,02/11/2013 07:02:25,02/11/2013 07:02:25,,0,https://www.gamerosity.com/?shop_order=order-feb-11-2013-0702-am,457,shop_order,,4
964,1,02/12/2013 04:09:53,02/12/2013 04:09:53,,"Order &ndash; Feb 12, 2013 @ 04:09 AM",,publish,open,closed,order_5119c08aec765,order-feb-12-2013-0409-am,,,02/12/2013 04:09:53,02/12/2013 04:09:53,,0,https://www.gamerosity.com/?shop_order=order-feb-12-2013-0409-am,456,shop_order,,4
965,1,02/12/2013 04:48:05,02/12/2013 04:48:05,,"Order &ndash; Feb 12, 2013 @ 04:47 AM",,publish,open,closed,order_5119c97e645d0,order-feb-12-2013-0447-am,,,02/12/2013 04:48:05,02/12/2013 04:48:05,,0,https://www.gamerosity.com/?shop_order=order-feb-12-2013-0447-am,455,shop_order,,4
966,1,02/12/2013 15:08:12,02/12/2013 15:08:12,,"Order &ndash; Feb 12, 2013 @ 03:07 PM",,publish,open,closed,order_511a5acd95d31,order-feb-12-2013-0307-pm,,,02/12/2013 15:08:12,02/12/2013 15:08:12,,0,https://www.gamerosity.com/?shop_order=order-feb-12-2013-0307-pm,454,shop_order,,4
967,1,02/12/2013 15:17:00,02/12/2013 15:17:19,,"Order &ndash; February 12, 2013 @ 03:17 PM",,publish,closed,closed,order_511a5ceecafdc,order-feb-12-2013-0317-pm,,,02/12/2013 15:30:05,02/12/2013 15:30:05,,0,https://www.gamerosity.com/?shop_order=order-feb-12-2013-0317-pm,453,shop_order,,4
